"           Janete Rocha Imóveis
           Last updated 2026-01-14 14:51",,,,,,,,,
Day,Event name,Session source / medium,Sessions,Total users,Active users,Engagement rate,Engaged sessions,Bounce rate,Sessions per user
2026-01-02,engaged_user,(direct) / (none),2,2,2,1,2,0,1
2026-01-02,first_visit,(direct) / (none),5,5,5,1,5,0,1
2026-01-02,page_view,(direct) / (none),8,6,6,1,8,0,1.333333333
2026-01-02,scroll,(direct) / (none),7,5,5,1,7,0,1.4
2026-01-02,session_start,(direct) / (none),8,6,6,1,8,0,1.333333333
2026-01-02,user_engagement,(direct) / (none),4,4,4,1,4,0,1
2026-01-03,first_visit,(direct) / (none),27,27,27,1,27,0,1
2026-01-03,page_view,(direct) / (none),27,27,27,1,27,0,1
2026-01-03,scroll,(direct) / (none),20,20,20,1,20,0,1
2026-01-03,session_start,(direct) / (none),27,27,27,1,27,0,1
2026-01-03,user_engagement,(direct) / (none),27,27,27,1,27,0,1
2026-01-04,first_visit,(direct) / (none),1,1,1,1,1,0,1
2026-01-04,page_view,(direct) / (none),3,2,2,0.3333333333,1,0.6666666667,1.5
2026-01-04,scroll,(direct) / (none),2,2,2,0.5,1,0.5,1
2026-01-04,session_start,(direct) / (none),3,2,2,0.3333333333,1,0.6666666667,1.5
2026-01-04,user_engagement,(direct) / (none),1,1,1,1,1,0,1
2026-01-05,click,(direct) / (none),1,1,1,1,1,0,1
2026-01-05,engaged_user,(direct) / (none),7,4,4,1,7,0,1.75
2026-01-05,engaged_user,google / organic,1,1,1,1,1,0,1
2026-01-05,first_visit,(direct) / (none),3,3,3,1,3,0,1
2026-01-05,form_start,(direct) / (none),2,2,2,1,2,0,1
2026-01-05,form_start,google / organic,1,1,1,1,1,0,1
2026-01-05,form_submit,(direct) / (none),1,1,1,1,1,0,1
2026-01-05,form_submit,google / organic,1,1,1,1,1,0,1
2026-01-05,generate_lead,(direct) / (none),1,1,1,1,1,0,1
2026-01-05,page_view,(direct) / (none),12,6,6,0.9166666667,11,0.08333333333,2
